SGG_Code,SGG_1,SGG_2,SGG_3
2441601,충남,충청남도 당진시,충남 당진
2441301,충남,충청남도 홍성군예산군,충남 홍성예산
2450101,전북,전라북도 전주시갑,전북 전주갑
2450102,전북,전라북도 전주시을,전북 전주을
2450201,전북,전라북도 전주시병,전북 전주병
2450301,전북,전라북도 군산시,전북 군산
2450501,전북,전라북도 익산시갑,전북 익산갑
2450502,전북,전라북도 익산시을,전북 익산을
2450701,전북,전라북도 정읍시고창군,전북 정읍고창
2450801,전북,전라북도 남원시임실군순창군,전북 남원임실순창
2450902,전북,전라북도 김제시부안군,전북 김제부안
2451001,전북,전라북도 완주군진안군무주군장수군,전북 완주진안무주장수
2460101,전남,전라남도 목포시,전남 목포
2460201,전남,전라남도 여수시갑,전남 여수갑
2460202,전남,전라남도 여수시을,전남 여수을
2460403,전남,전라남도 순천시광양시곡성군구례군갑,전남 순천광양곡성구례갑
2460702,전남,전라남도 순천시광양시곡성군구례군을,전남 순천광양곡성구례을
2460601,전남,전라남도 나주시화순군,전남 나주화순
2462202,전남,전라남도 담양군함평군영광군장성군,전남 담양함평영광장성
2461201,전남,전라남도 고흥군보성군장흥군강진군,전남 고흥보성장흥강진
2461801,전남,전라남도 해남군완도군진도군,전남 해남완도진도
2462101,전남,전라남도 영암군무안군신안군,전남 영암무안신안
2470101,경북,경상북도 포항시북구,경북 포항북구
2470201,경북,경상북도 포항시남구울릉군,경북 포항남울릉
2470401,경북,경상북도 경주시,경북 경주
2470501,경북,경상북도 김천시,경북 김천
2470601,경북,경상북도 안동시예천군,경북 안동예천
2470701,경북,경상북도 구미시갑,경북 구미갑
2470702,경북,경상북도 구미시을,경북 구미을
2470802,경북,경상북도 영주시영양군봉화군울진군,경북 영주영양봉화울진
2470901,경북,경상북도 영천시청도군,경북 영천
2471002,경북,경상북도 상주시문경시,경북 상주문경
2471302,경북,경상북도 경산시,경북 경산
2471902,경북,경상북도 군위군의성군청송군영덕군,경북 군위의성청송영덕
2471701,경북,경상북도 고령군성주군칠곡군,경북 고령성주칠곡
2480101,경남,경상남도 창원시의창구,경남 창원의창
2480102,경남,경상남도 창원시성산구,경남 창원성산
2480201,경남,경상남도 창원시마산합포구,경남 창원마산합포
2480202,경남,경상남도 창원시마산회원구,경남 창원마산회원
2480401,경남,경상남도 창원시진해구,경남 창원진해
2480301,경남,경상남도 진주시갑,경남 진주갑
2480302,경남,경상남도 진주시을,경남 진주을
2480501,경남,경상남도 통영시고성군,경남 통영고성
2480702,경남,경상남도 사천시남해군하동군,경남 사천남해하동
2480801,경남,경상남도 김해시갑,경남 김해갑
2480802,경남,경상남도 김해시을,경남 김해을
2480901,경남,경상남도 밀양시의령군함안군창녕군,경남 밀양의령함안창녕
2481001,경남,경상남도 거제시,경남 거제
2481402,경남,경상남도 양산시갑,경남 양산갑
2481403,경남,경상남도 양산시을,경남 양산을
2481901,경남,경상남도 산청군함양군거창군합천군,경남 산청함양거창합천
2490101,제주,제주특별자치도 제주시갑,제주 제주갑
2490102,제주,제주특별자치도 제주시을,제주 제주을
2490201,제주,제주특별자치도 서귀포시,제주 서귀포
